PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=504 ttl=63 time=577 ms
64 bytes from 10.0.2.22: icmp_seq=505 ttl=63 time=496 ms
64 bytes from 10.0.2.22: icmp_seq=506 ttl=63 time=412 ms
64 bytes from 10.0.2.22: icmp_seq=507 ttl=63 time=347 ms
64 bytes from 10.0.2.22: icmp_seq=508 ttl=63 time=320 ms
64 bytes from 10.0.2.22: icmp_seq=509 ttl=63 time=156 ms
64 bytes from 10.0.2.22: icmp_seq=510 ttl=63 time=62.7 ms
64 bytes from 10.0.2.22: icmp_seq=511 ttl=63 time=257 ms
64 bytes from 10.0.2.22: icmp_seq=512 ttl=63 time=210 ms
64 bytes from 10.0.2.22: icmp_seq=513 ttl=63 time=119 ms
64 bytes from 10.0.2.22: icmp_seq=514 ttl=63 time=36.4 ms
64 bytes from 10.0.2.22: icmp_seq=515 ttl=63 time=229 ms
64 bytes from 10.0.2.22: icmp_seq=516 ttl=63 time=208 ms
